"season","pageIDs201415","teamName","teamShortName","homeAway","oppName","pointsTotal","oppPointsTotal","pointsMargin","fieldGoalsMade","fieldGoalsAtt","fieldGoalsPct","threesMade","threesAtt","threesPct","freeThrowsMade","freeThrowsAtt","freeThrowsPct","reboundsDef","reboundsOff","reboundsTotal","assists","turnovers","steals","blocks","blocksReceived","foulsPersonal","foulsOn","pointsFromTurnovers","pointsSecondChance","pointsFastBreak","pointsBench","pointsInThePaint"
"2014 / 2015",64556,"Townsville","Townsville","Away","Sydney Uni","93",86,7,"33","66","50","7","13","53.8","20","25","80","26","15","41","21","18","6","8","1","16","17","14","6","0","21","48"
"2014 / 2015",64557,"Melbourne","Boomers","Home","Bendigo","66",78,-12,"27","65","41.5","2","12","16.7","10","12","83.3","20","10","30","11","15","6","4","4","20","16","8","6","0","9","40"
"2014 / 2015",64557,"Bendigo","Bendigo","Away","Melbourne","78",66,12,"28","71","39.4","4","12","33.3","18","21","85.7","25","15","40","15","10","8","4","4","16","20","19","12","0","12","28"
"2014 / 2015",64558,"Adelaide","Adelaide","Home","UC Capitals","70",73,-3,"25","62","40.3","7","19","36.8","13","15","86.7","22","8","30","17","14","6","1","0","24","18","13","8","0","27","30"
"2014 / 2015",64558,"UC Capitals","UC Capitals","Away","Adelaide","73",70,3,"23","59","39","5","15","33.3","22","29","75.9","25","13","38","12","19","5","0","1","19","24","6","11","0","18","24"
"2014 / 2015",64559,"Bendigo","Bendigo","Home","Sydney Uni","60",67,-7,"25","62","40.3","2","9","22.2","8","13","61.5","37","6","43","11","17","4","6","1","20","14","9","2","2","9","36"
"2014 / 2015",64559,"Sydney Uni","Sydney Uni","Away","Bendigo","67",60,7,"23","67","34.3","6","19","31.6","15","21","71.4","26","4","30","14","9","5","1","6","14","20","13","4","0","21","28"
"2014 / 2015",64560,"Dandenong","Dandenong","Home","Sydney Uni","91",72,19,"37","77","48.1","9","17","52.9","8","9","88.9","25","17","42","15","15","3","5","4","13","10","15","18","4","7","30"
"2014 / 2015",64560,"Sydney Uni","Sydney Uni","Away","Dandenong","72",91,-19,"30","65","46.2","2","10","20","10","14","71.4","18","7","25","17","14","2","4","5","10","13","13","2","0","26","32"
"2014 / 2015",64561,"West Coast","West Coast","Home","UC Capitals","70",83,-13,"30","70","42.9","4","17","23.5","6","6","100","20","12","32","9","17","11","4","5","17","15","22","14","0","26","38"
"2014 / 2015",64561,"UC Capitals","UC Capitals","Away","West Coast","83",70,13,"31","69","44.9","11","24","45.8","10","14","71.4","23","12","35","25","14","8","5","4","15","17","23","10","0","21","26"
"2014 / 2015",64562,"Townsville","Fire","Home","Melbourne","88",75,13,"31","68","45.6","3","10","30","23","30","76.7","23","14","37","17","13","5","6","0","14","22","21","10","0","11","48"
"2014 / 2015",64562,"Melbourne","Boomers","Away","Townsville","75",88,-13,"31","65","47.7","6","14","42.9","7","8","87.5","23","6","29","7","19","0","0","6","22","13","4","8","0","19","42"
"2014 / 2015",64563,"Townsville","Fire","Home","UC Capitals","106",58,48,"44","81","54.3","10","18","55.6","8","11","72.7","28","12","40","25","11","10","3","1","18","10","28","16","0","44","56"
