"season","round","date","time","gameIDs201516","teamName","homeAway","oppName","pointsTotal","oppPointsTotal","pointsMargin","teamResult","fieldGoalsMade","fieldGoalsAtt","fieldGoalsPct","threesMade","threesAtt","threesPct","freeThrowsMade","freeThrowsAtt","freeThrowsPct","reboundsDef","reboundsOff","reboundsTotal","assists","turnovers","steals","blocks","blocksReceived","foulsPersonal","foulsOn","pointsFromTurnovers","pointsSecondChance","pointsFastBreak","pointsBench","pointsInThePaint","possess","offRtg","defRtg","pointsMarginRtg","offDefRatio","trueShootingRtg","eFGpct","turnoverRate","freeThrowRate","offReboundRate","oppPossess","oppOffRtg","oppDefRtg","oppPointsMarginRtg","oppOffDefRatio","oppTrueShootingRtg","oppeFGpct","oppTurnoverRate","oppFreeThrowRate","oppOffReboundRate"
"2015 / 2016","12",2015-12-31,"1900","20151231-1900_PERvsTSV","Perth","Home","Townsville",71,77,-6,"Loss",28,76,36.8,6,25,24,9,11,81.8,21,15,36,11,14,11,0,7,14,12,15,13,0,10,32,80,88.8,96.2,-7.40000000000001,0.92,43.7,40.8,17.5,14.5,37.5,77,100,92.2,7.8,1.08,63.9,63.4,26,16.1,12.5
"2015 / 2016","12",2015-12-31,"1900","20151231-1900_PERvsTSV","Townsville","Away","Perth",77,71,6,"Win",31,56,55.4,9,17,52.9,6,9,66.7,25,3,28,19,20,5,7,0,12,14,13,2,0,21,36,77,100,92.2,7.8,1.08,63.9,63.4,26,16.1,12.5,80,88.8,96.2,-7.40000000000001,0.92,43.7,40.8,17.5,14.5,37.5
"2015 / 2016","12",2016-01-02,"1500","20160102-1500_SYDvsMEL","Sydney","Home","Melbourne",86,78,8,"Win",31,60,51.7,10,22,45.5,14,16,87.5,21,8,29,19,15,7,4,2,16,18,18,10,0,24,24,74,116.2,105.4,10.8,1.1,63.6,60,20.3,26.7,33.3,74,105.4,116.2,-10.8,0.91,57.3,53.4,24.3,32.2,34.4
"2015 / 2016","12",2016-01-02,"1500","20160102-1500_SYDvsMEL","Melbourne","Away","Sydney",78,86,-8,"Loss",26,59,44.1,11,24,45.8,15,19,78.9,16,11,27,15,18,6,2,4,18,16,9,2,0,31,26,74,105.4,116.2,-10.8,0.91,57.3,53.4,24.3,32.2,34.4,74,116.2,105.4,10.8,1.1,63.6,60,20.3,26.7,33.3
"2015 / 2016","12",2016-01-02,"1900","20160102-1900_BENvsCAN","Bendigo","Home","Canberra",78,68,10,"Win",31,68,45.6,6,19,31.6,10,12,83.3,26,8,34,20,11,8,2,4,15,12,9,2,2,8,42,76,102.6,89.5,13.1,1.15,52.9,50,14.5,17.6,24.2,75,90.7,104,-13.3,0.87,49.3,42.5,17.3,31.7,18.8
"2015 / 2016","12",2016-01-02,"1900","20160102-1900_BENvsCAN","Canberra","Away","Bendigo",68,78,-10,"Loss",24,60,40,3,13,23.1,17,19,89.5,25,6,31,10,13,4,4,2,12,15,7,4,1,7,36,75,90.7,104,-13.3,0.87,49.3,42.5,17.3,31.7,18.8,76,102.6,89.5,13.1,1.15,52.9,50,14.5,17.6,24.2
"2015 / 2016","12",2016-01-02,"1900","20160102-1900_SEQvsDAN","South-East Queensland","Home","Dandenong",66,72,-6,"Loss",23,76,30.3,4,22,18.2,16,18,88.9,28,18,46,9,10,5,4,4,20,17,5,7,0,16,26,76,86.8,94.7,-7.90000000000001,0.92,39,32.9,13.2,23.7,39.1,78,92.3,84.6,7.7,1.09,50.1,44.3,14.1,37.7,12.5
"2015 / 2016","12",2016-01-02,"1900","20160102-1900_SEQvsDAN","Dandenong","Away","South-East Queensland",72,66,6,"Win",25,61,41,4,9,44.4,18,23,78.3,28,4,32,11,11,4,4,4,17,20,4,4,0,13,30,78,92.3,84.6,7.7,1.09,50.1,44.3,14.1,37.7,12.5,76,86.8,94.7,-7.90000000000001,0.92,39,32.9,13.2,23.7,39.1
"2015 / 2016","12",2016-01-02,"1930","20160102-1930_ADLvsTSV","Adelaide","Home","Townsville",60,88,-28,"Loss",22,63,34.9,6,15,40,10,20,50,15,15,30,10,15,5,2,7,21,13,11,17,0,12,22,72,83.3,122.2,-38.9,0.68,41.4,39.7,20.8,31.7,35.7,72,122.2,83.3,38.9,1.47,56.1,55.2,15.3,35.8,53.1
"2015 / 2016","12",2016-01-02,"1930","20160102-1930_ADLvsTSV","Townsville","Away","Adelaide",88,60,28,"Win",33,67,49.3,8,26,30.8,14,24,58.3,27,17,44,22,11,6,7,2,13,21,11,10,0,21,40,72,122.2,83.3,38.9,1.47,56.1,55.2,15.3,35.8,53.1,72,83.3,122.2,-38.9,0.68,41.4,39.7,20.8,31.7,35.7
